iShares Russell 1000 ETF
Fund Holdings as of,"Sep 18, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"123,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","90,702,108.68","0.30","90,702,108.68","1,548,346.00","58.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","87,264,351.59","0.29","87,264,351.59","622,117.00","140.27","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","86,794,433.81","0.29","86,794,433.81","150,031.00","578.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","86,361,375.52","0.28","86,361,375.52","27,344.00","3,158.33","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","84,558,794.24","0.28","84,558,794.24","533,696.00","158.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","84,358,061.44","0.28","84,358,061.44","411,262.00","205.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","83,701,907.68","0.28","83,701,907.68","876,368.00","95.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","83,367,298.02","0.27","83,367,298.02","679,274.00","122.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","81,702,263.64","0.27","81,702,263.64","237,977.00","343.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","81,697,999.04","0.27","81,697,999.04","198,856.00","410.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","81,062,524.80","0.27","81,062,524.80","979,016.00","82.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","80,912,926.08","0.27","80,912,926.08","1,076,256.00","75.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","80,457,391.40","0.27","80,457,391.40","831,515.00","96.76","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","79,660,502.34","0.26","79,660,502.34","5,279,026.00","15.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","78,627,132.69","0.26","78,627,132.69","886,339.00","88.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","78,074,804.42","0.26","78,074,804.42","849,193.00","91.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","77,370,189.92","0.25","77,370,189.92","174,761.00","442.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","76,796,077.32","0.25","76,796,077.32","261,906.00","293.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","76,744,187.28","0.25","76,744,187.28","257,384.00","298.17","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","76,124,504.61","0.25","76,124,504.61","109,549.00","694.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","75,407,788.72","0.25","75,407,788.72","304,949.00","247.28","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","72,068,322.14","0.24","72,068,322.14","1,002,899.00","71.86","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","71,988,747.48","0.24","71,988,747.48","364,076.00","197.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","71,691,620.94","0.24","71,691,620.94","166,779.00","429.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","69,705,835.42","0.23","69,705,835.42","921,791.00","75.62","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","69,659,339.40","0.23","69,659,339.40","436,380.00","159.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","67,027,652.32","0.22","67,027,652.32","372,956.00","179.72","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","66,803,228.10","0.22","66,803,228.10","944,883.00","70.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","66,784,608.00","0.22","66,784,608.00","189,729.00","352.00","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","66,556,321.61","0.22","66,556,321.61","1,431,011.00","46.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","64,939,134.78","0.21","64,939,134.78","303,298.00","214.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
